日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240329,1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,ETF・ETN,-,-,-,-,-,-
20240329,1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,ETF・ETN,-,-,-,-,-,-
20240329,1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,ETF・ETN,-,-,-,-,-,-
20240329,1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20240329,170A,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,ETF・ETN,-,-,-,-,-,-
20240329,1711,ＳＤＳホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1712,ダイセキ環境ソリューション,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1716,第一カッター興業,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1717,明豊ファシリティワークス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240329,1718,美樹工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1719,安藤・間,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,171A,ゼロジャパン,PRO Market,6050,卸売業,13,商社・卸売,-,-
20240329,1720,東急建設,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1721,コムシスホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1723,日本電技,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1724,シンクレイヤ,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1726,ビーアールホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,172A,ネオホーム,PRO Market,8050,不動産業,17,不動産,-,-
20240329,1730,麻生フオームクリート,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1736,オーテック,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1739,メルディアＤＣ,グロース（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1743,コーアツ工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1757,創建エース,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1758,太洋基礎工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1762,高松コンストラクショングループ,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1764,工藤建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1766,東建コーポレーション,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1768,ソネック,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1770,藤田エンジニアリング,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1773,ワイ・ティー・エル・コーポレーション・バーハッド,プライム（外国株式）,2050,建設業,3,建設・資材,-,-
20240329,1775,富士古河Ｅ＆Ｃ,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1776,三井住建道路,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1780,ヤマウラ,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1783,ｆａｎｔａｓｉｓｔａ,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1786,オリエンタル白石,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1787,ナカボーテック,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1788,三東工業社,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1789,ＥＴＳホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1793,大本組,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1795,マサル,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1798,守谷商会,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1799,第一建設工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1801,大成建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1802,大林組,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1803,清水建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1805,飛島建設,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1807,佐藤渡辺,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1808,長谷工コーポレーション,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1810,松井建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1811,錢高組,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1812,鹿島建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1813,不動テトラ,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1814,大末建設,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1815,鉄建建設,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1820,西松建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1821,三井住友建設,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1822,大豊建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1826,佐田建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1827,ナカノフドー建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1828,田辺工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1833,奥村組,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1835,東鉄工業,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1840,土屋ホールディングス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1841,サンユー建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1844,大盛工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1847,イチケン,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1848,富士ピー・エス,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1850,南海辰村建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1852,淺沼組,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1853,森組,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1860,戸田建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1861,熊谷組,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1866,北野建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1867,植木組,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1870,矢作建設工業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1871,ピーエス三菱,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1873,日本ハウスホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1878,大東建託,プライム（内国株式）,8050,不動産業,17,不動産,4,TOPIX Mid400
20240329,1879,新日本建設,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1882,東亜道路工業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1884,日本道路,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1885,東亜建設工業,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1887,日本国土開発,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1888,若築建設,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1890,東洋建設,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1893,五洋建設,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1897,金下建設,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1898,世紀東急工業,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1899,福田組,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1904,大成温調,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1905,テノックス,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1909,日本ドライケミカル,スタンダード（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20240329,1911,住友林業,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1914,日本基礎技術,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1921,巴コーポレーション,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1925,大和ハウス工業,プライム（内国株式）,2050,建設業,3,建設・資材,2,TOPIX Large70
20240329,1926,ライト工業,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1928,積水ハウス,プライム（内国株式）,2050,建設業,3,建設・資材,2,TOPIX Large70
20240329,1929,日特建設,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1930,北陸電気工事,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1934,ユアテック,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1938,日本リーテック,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1939,四電工,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1941,中電工,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1942,関電工,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1944,きんでん,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1945,東京エネシス,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1946,トーエネック,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1948,弘電社,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1949,住友電設,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1950,日本電設工業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1951,エクシオグループ,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1952,新日本空調,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1959,九電工,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1960,サンテック,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1961,三機工業,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1963,日揮ホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,4,TOPIX Mid400
20240329,1964,中外炉工業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1965,テクノ菱和,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1966,高田工業所,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1967,ヤマト,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1968,太平電業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1969,高砂熱学工業,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1971,中央ビルト工業,スタンダード（内国株式）,3550,金属製品,3,建設・資材,-,-
20240329,1972,三晃金属工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1973,ＮＥＣネッツエスアイ,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,6,TOPIX Small 1
20240329,1975,朝日工業社,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1976,明星工業,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1979,大氣社,プライム（内国株式）,2050,建設業,3,建設・資材,6,TOPIX Small 1
20240329,1980,ダイダン,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1981,協和日成,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1982,日比谷総合設備,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20240329,1992,神田通信機,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1994,高橋カーテンウォール工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,1997,暁飯島工業,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240329,2001,ニップン,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20240329,2002,日清製粉グループ本社,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20240329,2003,日東富士製粉,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240329,2004,昭和産業,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240329,2009,鳥越製粉,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240329,2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,ETF・ETN,-,-,-,-,-,-
20240329,2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240329,2013,ｉシェアーズ　米国高配当株　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240329,2014,ｉシェアーズ　米国連続増配株　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240329,2015,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
20240329,2016,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20240329,2017,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０,ETF・ETN,-,-,-,-,-,-
20240329,2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240329,2019,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,ETF・ETN,-,-,-,-,-,-
20240329,2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2042,ＮＥＸＴ　ＮＯＴＥＳ　東証グロース市場２５０　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2043,ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2044,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2045,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2046,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2047,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2048,ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2050,ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ,ETF・ETN,-,-,-,-,-,-
20240329,2053,中部飼料,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240329,2055,日和産業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
